部件名称 (Part Name),出现角色数 (Count),覆盖率 (Coverage)
L_Highlight,15,3.74%
R_Braid,14,3.49%
L_Index,14,3.49%
M_Hair,14,3.49%
L_Temples,14,3.49%
R_Cloth,14,3.49%
Dress,14,3.49%
L_Hat,14,3.49%
R_HandHold,14,3.49%
Eyelash,14,3.49%
R_Highlight,14,3.49%
L_Braid,13,3.24%
L_Shoelace,13,3.24%
Hairpin,13,3.24%
L_Eyelight,13,3.24%
Chain,13,3.24%
Ring,13,3.24%
L_HandHold,13,3.24%
R_HandHold_Finger,13,3.24%
L_FingerA,13,3.24%
R_Eye_Laugh,13,3.24%
R_Shoelace,13,3.24%
R_Hat,13,3.24%
Thigh,12,2.99%
Box,12,2.99%
Rope,12,2.99%
R_Eyelight,12,2.99%
Line,12,2.99%
L_Whiteeye,12,2.99%
R_Whiteeye,12,2.99%
C_Tail,12,2.99%
R_eye,12,2.99%
L_Eye_Laugh,12,2.99%
R_Streamer,12,2.99%
Shield,12,2.99%
R_Sclera,12,2.99%
L_Sclera,12,2.99%
Bow,11,2.74%
Glasses,11,2.74%
Zipper,11,2.74%
M_Bangs,11,2.74%
R_Hand_II,11,2.74%
L_Ribbon,11,2.74%
R_Claf,11,2.74%
L_Hair_II,11,2.74%
Sword,11,2.74%
Streamer,11,2.74%
L_FingerC,11,2.74%
R_FingerA,11,2.74%
R_FingerC,11,2.74%
L_FingerD,11,2.74%
R_FingerB,11,2.74%
L_FingerB,11,2.74%
R_FingerD,11,2.74%
head,11,2.74%
hair,11,2.74%
R_hand,11,2.74%
L_eye,11,2.74%
Button,11,2.74%
R_Fist,10,2.49%
L_Claf,10,2.49%
Breast,10,2.49%
R_Wing,10,2.49%
Knife,10,2.49%
L_Earrings,10,2.49%
R_shin,10,2.49%
R_arm,10,2.49%
L_shin,10,2.49%
L_thigh,10,2.49%
R_thigh,10,2.49%
L_arm,10,2.49%
chest,10,2.49%
Scabbard,10,2.49%
Book,10,2.49%
Dress_Back,9,2.24%
Hair_L_II,9,2.24%
R_Datui,9,2.24%
B_Skirt,9,2.24%
R_Rope,9,2.24%
B_Head,9,2.24%
R_Pinky,9,2.24%
Flower,9,2.24%
L_Wing,9,2.24%
L_Ears,9,2.24%
R_Earrings,9,2.24%
Mouth_Smile,9,2.24%
L_FingerE,9,2.24%
R_FingerE,9,2.24%
L_palm,9,2.24%
L_fingers,9,2.24%
L_shoes,9,2.24%
Gun,9,2.24%
L_Xiaotui,8,2.00%
L_Datui,8,2.00%
L_Eye_White,8,2.00%
R_Eye_White,8,2.00%
L_Rope,8,2.00%
Top_Hair,8,2.00%
Arrow,8,2.00%
L_Pinky,8,2.00%
Mouth2,8,2.00%
R_Ribbon,8,2.00%
L_Froearm,8,2.00%
R_O_Hand,8,2.00%
L_O_Hand,8,2.00%
Glass,8,2.00%
EyeBrow,8,2.00%
FrontHair,8,2.00%
R_shoes,8,2.00%
L_ear,8,2.00%
R_ear,8,2.00%
weapon,8,2.00%
B_Hat,8,2.00%
R_Hair_II,8,2.00%
L_Hand_II,8,2.00%
Pendant,8,2.00%
R_Upperarm,8,2.00%
R_Shank,8,2.00%
L_Shank,8,2.00%
L_Upperarm,8,2.00%
Hair_L_III,7,1.75%
Fingers,7,1.75%
Tou,7,1.75%
Nu,7,1.75%
tail,7,1.75%
Quiver,7,1.75%
Strap,7,1.75%
L_Feather,7,1.75%
R_Froearm,7,1.75%
R_Feather,7,1.75%
R_Pants,7,1.75%
R_Ears,7,1.75%
Earring,7,1.75%
R_Hand2,7,1.75%
AhoHair,7,1.75%
Mouth_III,7,1.75%
L_Eyebrow_Laugh,7,1.75%
R_Eyebrow_Laugh,7,1.75%
eyebrow,7,1.75%
R_Weapon,7,1.75%
Hood_Back,7,1.75%
hip,7,1.75%
Pocket,7,1.75%
Hair_RB,7,1.75%
Nose,7,1.75%
IDCard,7,1.75%
L_Eye_white,7,1.75%
R_Eye_white,7,1.75%
Bottle,7,1.75%
L_eyelash,7,1.75%
R_eyelash,7,1.75%
Ku,6,1.50%
R_Xie,6,1.50%
Yun,6,1.50%
Ai,6,1.50%
L_Shoe,6,1.50%
R_Shoe,6,1.50%
Mouth3,6,1.50%
Goggles,6,1.50%
C_C_Hand,6,1.50%
R_Hairs,6,1.50%
R_Fins,6,1.50%
Shirt,6,1.50%
Chest_Belt,6,1.50%
Chest_Tape,6,1.50%
Mouth_II,6,1.50%
R_Finger_II,6,1.50%
Headwear,6,1.50%
String,6,1.50%
R_collar,6,1.50%
L_Weapon,6,1.50%
L_Finger1,6,1.50%
Le,6,1.50%
Mouth_Angry,6,1.50%
L_hand,6,1.50%
L_Streamer,6,1.50%
BagBand,6,1.50%
L,6,1.50%
Finger,6,1.50%
Hair_RA,6,1.50%
Earphone,6,1.50%
Hair_back,6,1.50%
Badge,6,1.50%
Bag_Tape,6,1.50%
L_Knee,6,1.50%
Hair_R_II,5,1.25%
R_Youwaitao,5,1.25%
Xiong,5,1.25%
R_Zipper,5,1.25%
Face_Line,5,1.25%
Skirt_Back,5,1.25%
R_Lace,5,1.25%
L_Lace,5,1.25%
Hair_Top,5,1.25%
Ball,5,1.25%
R_Hair_Long,5,1.25%
L_Hair_Long,5,1.25%
L_HairB,5,1.25%
L_HairA,5,1.25%
R_Eye_Light,5,1.25%
R_HairA,5,1.25%
L_Eye_Light,5,1.25%
R_HairB,5,1.25%
C_Box,5,1.25%
Hand_R_Bb,5,1.25%
Hand_R_Ba,5,1.25%
R_Button,5,1.25%
C_A_Hand,5,1.25%
C_B_Hand,5,1.25%
C_C_Finger,5,1.25%
Nevus,5,1.25%
Cape,5,1.25%
C_Mouth,5,1.25%
L_Pants,5,1.25%
L_Shawl,5,1.25%
L_Hairs,5,1.25%
R_Eyebow,5,1.25%
L_Eyebow,5,1.25%
Mouth1,5,1.25%
L_Hand2,5,1.25%
HairB,5,1.25%
R_Eye_Smile,5,1.25%
L_Eye_Smile,5,1.25%
R_Finger_III,5,1.25%
L_Finger_IV,5,1.25%
R_Finger_IV,5,1.25%
L_Finger_III,5,1.25%
L_Finger_II,5,1.25%
glasses,5,1.25%
mouth_smile,5,1.25%
L_Finger2,5,1.25%
L_Finger5,5,1.25%
L_Finger4,5,1.25%
L_Finger3,5,1.25%
R_Eye_Gosh,5,1.25%
Mouth_Gosh,5,1.25%
L_Eye_Gosh,5,1.25%
R_datui,5,1.25%
R_xiaotui,5,1.25%
xiong,5,1.25%
R_xie,5,1.25%
tou,5,1.25%
R_xiabi,5,1.25%
hat,5,1.25%
R_Kneecap,5,1.25%
belt,5,1.25%
BeltB,5,1.25%
BeltA,5,1.25%
R_Xiaotui,5,1.25%
R_palm,5,1.25%
Cap,5,1.25%
Wuqi,5,1.25%
T_Hair,5,1.25%
Feather,5,1.25%
L_Earring,5,1.25%
Bang,5,1.25%
R,5,1.25%
L_Hair_III,5,1.25%
L_Upper,5,1.25%
R_Upper,5,1.25%
CoatB,5,1.25%
Light,5,1.25%
L_EyeLight,5,1.25%
R_EyeLight,5,1.25%
L_Arm_Tape,5,1.25%
R_Knee,5,1.25%
Headset,4,1.00%
Bullet,4,1.00%
Shoulder,4,1.00%
Hand_R_II,4,1.00%
Palm,4,1.00%
R_Xiaobi,4,1.00%
Zhengchang,4,1.00%
L_Xiezi,4,1.00%
Yao,4,1.00%
Xi,4,1.00%
Bandage,4,1.00%
L_Hood,4,1.00%
R_Hood,4,1.00%
Face_Le,4,1.00%
R_Glove,4,1.00%
L_Clothes,4,1.00%
Blush,4,1.00%
L_Handclose,4,1.00%
L_Bow,4,1.00%
R_Bow,4,1.00%
L_Annex,4,1.00%
R_Hair_Short,4,1.00%
L_Hair_Short,4,1.00%
Buckle,4,1.00%
Hand_R_Ae,4,1.00%
Hand_L_Af,4,1.00%
Hand_L_Ab,4,1.00%
Hand_R_Ab,4,1.00%
Hand_R_Ac,4,1.00%
Hand_L_Ac,4,1.00%
Hand_R_Aa,4,1.00%
Hand_L_Aa,4,1.00%
Hand_L_Ad,4,1.00%
Hand_L_Ae,4,1.00%
Hand_R_Af,4,1.00%
Hand_R_Ad,4,1.00%
Coat_Belt,4,1.00%
R_EyeW,4,1.00%
O_Mouth,4,1.00%
L_Scarf,4,1.00%
L_B_Hand,4,1.00%
R_B_Hand,4,1.00%
R_Scarf,4,1.00%
C_Bag,4,1.00%
L_lash,4,1.00%
R_lash,4,1.00%
L_Fin_Ac,4,1.00%
R_Fin_Ad,4,1.00%
R_Fin_Ae,4,1.00%
R_Fin_Ab,4,1.00%
L_Fin_Ae,4,1.00%
L_Fin_Aa,4,1.00%
R_Fin_Aa,4,1.00%
R_Fin_Ac,4,1.00%
L_Fin_Ab,4,1.00%
L_Fin_Ad,4,1.00%
Halo,4,1.00%
R_Hairpin,4,1.00%
L_Dress,4,1.00%
Backhair,4,1.00%
R_Dress,4,1.00%
C_Hand,4,1.00%
L_Eye_II,4,1.00%
R_Cloak_II,4,1.00%
Star,4,1.00%
Waist_II,4,1.00%
R_Eye_II,4,1.00%
Wast,4,1.00%
L_collar,4,1.00%
Kua,4,1.00%
yun,4,1.00%
toufa1,4,1.00%
yao,4,1.00%
xi,4,1.00%
L_xiaotui,4,1.00%
le,4,1.00%
ku,4,1.00%
nu,4,1.00%
L_xiabi,4,1.00%
ai,4,1.00%
collar,4,1.00%
coat,4,1.00%
Phone,4,1.00%
Mouth_Fun,4,1.00%
L_Eyebrow_Fun,4,1.00%
L_Eye_Angry,4,1.00%
Angry,4,1.00%
R_Eye_Angry,4,1.00%
L_Eyebrow_Angry,4,1.00%
R_Eyebrow_Angry,4,1.00%
SkirtB,4,1.00%
R_Bracelet,4,1.00%
R_Earring,4,1.00%
R_Xiabi,4,1.00%
waist,4,1.00%
Cloak_Back,4,1.00%
Biyan,4,1.00%
R_Hand_SP,4,1.00%
Coat_II,4,1.00%
R_Strap,4,1.00%
L_D_Eye,4,1.00%
R_D_Eye,4,1.00%
L_EyeClosed,4,1.00%
L_Bang,4,1.00%
R_Fur,4,1.00%
L_Coat_II,4,1.00%
R_EyeClosed,4,1.00%
Weapon_Scabbard,4,1.00%
Beibutoufa,4,1.00%
L_Xiabi,4,1.00%
Grenade,4,1.00%
Hair_II,4,1.00%
L_Hand_III,4,1.00%
Pen,4,1.00%
Goggle,4,1.00%
L_Button,4,1.00%
L_Foot_II,4,1.00%
R_Foot_II,4,1.00%
Helmet,4,1.00%
L_Hand_SP,4,1.00%
Wire,4,1.00%
R_Hand_Finger,4,1.00%
B_Collar,4,1.00%
Headband,4,1.00%
R_EyeBall,4,1.00%
Holster,4,1.00%
L_EyeBall,4,1.00%
Pistol,4,1.00%
L_B_Hair,4,1.00%
L_Light,4,1.00%
Sleep,4,1.00%
outline,4,1.00%
B_Cloth,4,1.00%
R_Arm_Tape,4,1.00%
Butt,4,1.00%
EyeLash,4,1.00%
Hand_L_II,3,0.75%
Eye_L_Ball,3,0.75%
Sleeve,3,0.75%
Eye_R_Ball,3,0.75%
L_Zuowaitao,3,0.75%
Weiba,3,0.75%
L_Bandage,3,0.75%
L_Face,3,0.75%
R_forearm,3,0.75%
L_Shirt,3,0.75%
R_Shirt,3,0.75%
L_Pendant,3,0.75%
Mouth_Xin,3,0.75%
R_EyeClose,3,0.75%
L_EyeClose,3,0.75%
L_Eye_light,3,0.75%
L_Arm_Bag,3,0.75%
R_Eye_light,3,0.75%
M_Coat,3,0.75%
L_Line,3,0.75%
R_Armring,3,0.75%
L_Zipper,3,0.75%
L_Pocket,3,0.75%
Belly,3,0.75%
Crown,3,0.75%
L_Eye_Highlight,3,0.75%
R_Eye_Highlight,3,0.75%
Braids,3,0.75%
Head_Shadow,3,0.75%
Neckline,3,0.75%
Coat_Rb,3,0.75%
L_Glove,3,0.75%
Temple,3,0.75%
L_Earphone,3,0.75%
R_Tool,3,0.75%
Coat_L_II,3,0.75%
EyeBall,3,0.75%
Highlight,3,0.75%
C_B_Finger,3,0.75%
C_A_Finger,3,0.75%
S_Mouth,3,0.75%
Back_Cloth,3,0.75%
R_B_Fin,3,0.75%
R_Palms,3,0.75%
R_Fin_Bc,3,0.75%
L_Foot_Ring,3,0.75%
R_Fin_Bb,3,0.75%
R_Shoes,3,0.75%
R_Fin_Ba,3,0.75%
R_Fin_Bd,3,0.75%
L_Shoes,3,0.75%
R_Fin_Be,3,0.75%
BKH,3,0.75%
R_Handring,3,0.75%
Beltline,3,0.75%
Mouth4,3,0.75%
R_EarRing,3,0.75%
L_Eyelash2,3,0.75%
Hair_Bang,3,0.75%
R_Arm2,3,0.75%
L_Arm_Sleeve,3,0.75%
L_HandHold_Finger,3,0.75%
R_Arm_Sleeve,3,0.75%
BowTie,3,0.75%
L_FurEar,3,0.75%
R_FurEar,3,0.75%
L_Cloak_II,3,0.75%
L_Eyelash_III,3,0.75%
R_Eye_IV,3,0.75%
R_Eyelash_II,3,0.75%
L_Eyelid_II,3,0.75%
R_Forearm_II,3,0.75%
L_Eye_IV,3,0.75%
R_C_Eye_II,3,0.75%
L_Eyelash_IV,3,0.75%
R_Eye_III,3,0.75%
L_C_Eye_II,3,0.75%
L_Eyelash_II,3,0.75%
L_Eye_III,3,0.75%
R_Eyelid_III,3,0.75%
R_Eyelid_II,3,0.75%
L_Eyelid_III,3,0.75%
R_Eyelash_III,3,0.75%
L_Pupil,3,0.75%
R_Pupil,3,0.75%
R_Hand_Closed,3,0.75%
Eardrop,3,0.75%
R_Earphone,3,0.75%
C_Chain,3,0.75%
R_shoelace,3,0.75%
L_shoelace,3,0.75%
eye,3,0.75%
skirt,3,0.75%
R_Finger4,3,0.75%
R_Finger3,3,0.75%
C_Head,3,0.75%
R_Finger1,3,0.75%
R_Finger2,3,0.75%
C_Hair,3,0.75%
Shawl,3,0.75%
toufa2,3,0.75%
tape,3,0.75%
R_coat,3,0.75%
L_coat,3,0.75%
Weapon_Line,3,0.75%
Belt_III,3,0.75%
Belt_II,3,0.75%
R_horn,3,0.75%
L_horn,3,0.75%
Weapon_Tape,3,0.75%
L_Kneecap,3,0.75%
R_Kneepad,3,0.75%
R_Eyebrow_Fun,3,0.75%
BeltC,3,0.75%
R_HairC,3,0.75%
SkirtA,3,0.75%
Mouth(2),3,0.75%
Collar_Back,3,0.75%
R_Shou1,3,0.75%
Toufa1,3,0.75%
R_Shou2,3,0.75%
Hairwear,3,0.75%
L_forefinger,3,0.75%
L_middlefinger,3,0.75%
L_thumb,3,0.75%
L_clothes,3,0.75%
L_littlefinger,3,0.75%
L_ringfinger,3,0.75%
R_clothes,3,0.75%
R_tape,3,0.75%
L_Dabi,3,0.75%
Hair_FA,3,0.75%
Hair_FB,3,0.75%
Hair_FC,3,0.75%
L_String,3,0.75%
Hair_R_III,3,0.75%
R_U_Eye,3,0.75%
Peluis,3,0.75%
L_U_Eye,3,0.75%
C_L_Hand,3,0.75%
C_Body,3,0.75%
R_Ear_Ring,3,0.75%
C_R_Hand,3,0.75%
R_Bang,3,0.75%
L_shouzhi5,3,0.75%
biyan,3,0.75%
L_shouzhi6,3,0.75%
R_shouzhi1,3,0.75%
L_shouzhi3,3,0.75%
L_shouzhi2,3,0.75%
L_shouzhi1,3,0.75%
L_dabi,3,0.75%
L_shouzhi4,3,0.75%
R_dabi,3,0.75%
bag,3,0.75%
Daimao,3,0.75%
L_Shangbi,3,0.75%
L_Xie,3,0.75%
Zhongliuhai,3,0.75%
Zuoqianfa,3,0.75%
Youqianfa,3,0.75%
L_xie,3,0.75%
L_datui,3,0.75%
Band,3,0.75%
Tentacle,3,0.75%
Hair_LB,3,0.75%
FrontHairB,3,0.75%
FrontHairA,3,0.75%
Hair_B_II,3,0.75%
Weapon_II,3,0.75%
Bag_Tail,3,0.75%
R_finger,3,0.75%
L_Wings,3,0.75%
Wing,3,0.75%
Doll,3,0.75%
Handle,3,0.75%
BagTape,3,0.75%
C_Bullet,3,0.75%
Zuoer,3,0.75%
R_Shangbi,3,0.75%
Beard,3,0.75%
Floor,3,0.75%
R_Flush,3,0.75%
L_Flush,3,0.75%
L_Armband,3,0.75%
R_Coat_II,3,0.75%
Eyewhite,3,0.75%
Hair_Bb,3,0.75%
Eyeball,3,0.75%
Hair_Ba,3,0.75%
ChestBag,3,0.75%
Headdress,3,0.75%
Cord,3,0.75%
Packet,3,0.75%
Bundle,3,0.75%
L_Forearm_II,3,0.75%
L_Leg_Tape,3,0.75%
R_Leg_Tape,3,0.75%
Skirt_II,3,0.75%
Kneepad,3,0.75%
C_Arrow,3,0.75%
Coat_Tape,3,0.75%
Necktie,3,0.75%
L_Eyeshadow,3,0.75%
R_Eyeshadow,3,0.75%
Waistband,3,0.75%
L_Hand_Annex,3,0.75%
L_Fur,3,0.75%
B_Cloak,3,0.75%
Hand_R_Bc,3,0.75%
Hand_R_Bf,3,0.75%
Hand_R_Bd,3,0.75%
Hand_R_Be,3,0.75%
Blet,3,0.75%
HairTape,3,0.75%
WaistBelt,3,0.75%
HairTemple,3,0.75%
R_Light,3,0.75%
Wrinkle,3,0.75%
L_Eyeliner,3,0.75%
R_Eyeliner,3,0.75%
Bowknot,3,0.75%
R_Collar_Tape,3,0.75%
C_Flower,3,0.75%
C_Tape,3,0.75%
H_Mouth,3,0.75%
Paper,3,0.75%
Dm,3,0.75%
MouthOpen,3,0.75%
Waist_Belt,3,0.75%
L_Eyelash_Up,3,0.75%
R_Eyelash_Down,3,0.75%
L_Eyelash_Down,3,0.75%
R_Eyelash_Up,3,0.75%
R_Leg_II,3,0.75%
Belt_Rope,3,0.75%
R_EyeShadow,3,0.75%
L_EyeShadow,3,0.75%
La_Hand,3,0.75%
R_Arm_gs,3,0.75%
Hat_II,3,0.75%
HairF,3,0.75%
EyePipul,3,0.75%
Eye_Smile,3,0.75%
EyeWhite,3,0.75%
Hair_Lb,3,0.75%
L_Acromion,3,0.75%
R_Calf_II,3,0.75%
R_Hand_IV,3,0.75%
L_Hand_IV,3,0.75%
R_Hand_III,3,0.75%
L_Calf_II,3,0.75%
Hair_L_IV,2,0.50%
R_Dabi,2,0.50%
Interphone,2,0.50%
Id card,2,0.50%
R_Plam,2,0.50%
Decorate,2,0.50%
Hair_braid,2,0.50%
R_Headset,2,0.50%
R_Line,2,0.50%
Bangs_BB,2,0.50%
Hairback,2,0.50%
Hairtop,2,0.50%
Hair_L_temple,2,0.50%
Hair_R_temple,2,0.50%
L_Sleeve_Back,2,0.50%
R_Hairwear,2,0.50%
L_Angle,2,0.50%
Back_Coat,2,0.50%
R_Angle,2,0.50%
Head_Annex,2,0.50%
L_Eyeblow_Normal,2,0.50%
Belt_Annex,2,0.50%
R_Mouth,2,0.50%
R_Eyeblow_Normal,2,0.50%
R_HandD,2,0.50%
Hair_Tail,2,0.50%
L_HairC,2,0.50%
Hat_Back,2,0.50%
Hair_Front,2,0.50%
B_HairA,2,0.50%
Head_Bow,2,0.50%
Coat_Lb,2,0.50%
L_Tool,2,0.50%
EyeLight,2,0.50%
Eye_L_OFF,2,0.50%
Weapon_Belt,2,0.50%
C_D_Finger,2,0.50%
IDcard,2,0.50%
L_EyeW,2,0.50%
R_H_Eye,2,0.50%
Brooch,2,0.50%
R_Collar_Back,2,0.50%
C_Gun,2,0.50%
L_Hem,2,0.50%
R_Hem,2,0.50%
H_Flower,2,0.50%
Chest_Acc,2,0.50%
Ornaments,2,0.50%
B_Hairs,2,0.50%
R_Arms,2,0.50%
L_Eyeball_Light,2,0.50%
L_Cuff,2,0.50%
Cloak_Ba,2,0.50%
R_Band,2,0.50%
C_Stone,2,0.50%
HairClip,2,0.50%
Mouth6,2,0.50%
L_Hairpin,2,0.50%
R_Backhair,2,0.50%
L_Eyeclose2,2,0.50%
Belt_Tape,2,0.50%
L_Arm_Armor,2,0.50%
L_Hair2,2,0.50%
Coin,2,0.50%
R_Eye_closed,2,0.50%
L_Shoulder_Tape,2,0.50%
C_Weapon4,2,0.50%
L_Temple2,2,0.50%
C_Weapon3,2,0.50%
C_Weapon1,2,0.50%
C_Weapon2,2,0.50%
WeaponBag,2,0.50%
M_Scarf,2,0.50%
M_Cloak,2,0.50%
R_Cloak_III,2,0.50%
L_Cloak_III,2,0.50%
L_Ear_II,2,0.50%
L_HairBand,2,0.50%
Head_II,2,0.50%
Bubble,2,0.50%
Cloak_II,2,0.50%
R_Bell,2,0.50%
R_HairBand,2,0.50%
R_Eyelash_IV,2,0.50%
Id Card,2,0.50%
Bug,2,0.50%
R_Foot_Back,2,0.50%
L_Foot_Back,2,0.50%
R_Armband,2,0.50%
L_Finger_Closed,2,0.50%
Veil,2,0.50%
L_Hand_Closed,2,0.50%
R_Jacket,2,0.50%
R_Gusset,2,0.50%
L_Jacket,2,0.50%
medicament,2,0.50%
cloak,2,0.50%
R_Finger5,2,0.50%
C_Waist,2,0.50%
Hair3,2,0.50%
L_Leg2,2,0.50%
R_Leg2,2,0.50%
Hair2,2,0.50%
Hair1,2,0.50%
L_Arm2,2,0.50%
ArrowBag,2,0.50%
R_shangbi,2,0.50%
L_shangbi,2,0.50%
toufa5,2,0.50%
weiba,2,0.50%
yan,2,0.50%
toufa4,2,0.50%
kua,2,0.50%
Katana,2,0.50%
LegBelt,2,0.50%
crotch,2,0.50%
Coat_R_Tape,2,0.50%
Coat_L_Tape,2,0.50%
Waist_Tape,2,0.50%
R_Hand_Bc,2,0.50%
R_Hand_Bf,2,0.50%
R_Hand_Ba,2,0.50%
R_Hand_Bb,2,0.50%
R_Hand_Bd,2,0.50%
R_Hand_Be,2,0.50%
Coat_Collar,2,0.50%
L_wing,2,0.50%
R_wing,2,0.50%
Head_Line,2,0.50%
L_Eye_Fun,2,0.50%
R_Eye_Sorrow,2,0.50%
L_Eyebrow_Sorrow,2,0.50%
R_Eye_Fun,2,0.50%
L_Eye_Sorrow,2,0.50%
Mouth_Sorrow,2,0.50%
Hair band,2,0.50%
necklace,2,0.50%
Bag_Belt,2,0.50%
Bag_Streamer,2,0.50%
quiver,2,0.50%
R_braid,2,0.50%
shield,2,0.50%
L_braid,2,0.50%
L_Leg_Annex,2,0.50%
Dot,2,0.50%
L_Calf_Annex,2,0.50%
L_Bracelet,2,0.50%
Brand,2,0.50%
Maozi,2,0.50%
L_Shouzhang,2,0.50%
R_toufa,2,0.50%
Bird_R_Wing,2,0.50%
Bird_Body,2,0.50%
Bird_L_Wing,2,0.50%
Emotion,2,0.50%
L_shose,2,0.50%
R_littlefinger,2,0.50%
R_middlefinger,2,0.50%
R_shose,2,0.50%
R_ringfinger,2,0.50%
R_forefinger,2,0.50%
R_white,2,0.50%
R_thumb,2,0.50%
L_white,2,0.50%
R_Wraps,2,0.50%
L_Wraps,2,0.50%
L_tape,2,0.50%
R_Shou4,2,0.50%
Qunzi,2,0.50%
R_Shou3,2,0.50%
L_Shou1,2,0.50%
L_Xiaobi,2,0.50%
R_Xiezi,2,0.50%
Yanjing,2,0.50%
L_Blush,2,0.50%
L_Kneepad,2,0.50%
R_Blush,2,0.50%
Pigtail,2,0.50%
PageB,2,0.50%
PageA,2,0.50%
Fire,2,0.50%
L_Hiar,2,0.50%
R_Hiar,2,0.50%
R_FrontHair,2,0.50%
L_FrontHair,2,0.50%
Knife_II,2,0.50%
L_Strap,2,0.50%
B_Tape,2,0.50%
L_Hand_Sp,2,0.50%
R_EyeLash,2,0.50%
R_Hand_Ring,2,0.50%
C_R_Ear,2,0.50%
Aho_Hair,2,0.50%
Tail_II,2,0.50%
